State/UT,District,Commodity Group,Commodity,Date,Arrival Quantity,Arrival Unit,Modal Price,Price Unit,Standard_Crop,Parsed_Date
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),11-06-2021,16.0,Metric Tonnes,2493.75,Rs./Quintal,Bajra,2021-06-11
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),12-06-2021,14.0,Metric Tonnes,2557.14,Rs./Quintal,Bajra,2021-06-12
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),13-06-2021,16.0,Metric Tonnes,1400.0,Rs./Quintal,Bajra,2021-06-13
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),14-06-2021,16.0,Metric Tonnes,2346.88,Rs./Quintal,Bajra,2021-06-14
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),15-06-2021,15.0,Metric Tonnes,2346.67,Rs./Quintal,Bajra,2021-06-15
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),16-06-2021,14.0,Metric Tonnes,2650.0,Rs./Quintal,Bajra,2021-06-16
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),17-06-2021,16.0,Metric Tonnes,2493.75,Rs./Quintal,Bajra,2021-06-17
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),18-06-2021,15.0,Metric Tonnes,2460.0,Rs./Quintal,Bajra,2021-06-18
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),19-06-2021,16.0,Metric Tonnes,2425.0,Rs./Quintal,Bajra,2021-06-19
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),20-06-2021,17.0,Metric Tonnes,1582.35,Rs./Quintal,Bajra,2021-06-20
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),21-06-2021,18.0,Metric Tonnes,2333.33,Rs./Quintal,Bajra,2021-06-21
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),22-06-2021,15.0,Metric Tonnes,2464.0,Rs./Quintal,Bajra,2021-06-22
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),23-06-2021,14.0,Metric Tonnes,2650.0,Rs./Quintal,Bajra,2021-06-23
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),24-06-2021,15.0,Metric Tonnes,2550.0,Rs./Quintal,Bajra,2021-06-24
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),25-06-2021,15.0,Metric Tonnes,2566.67,Rs./Quintal,Bajra,2021-06-25
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),26-06-2021,15.0,Metric Tonnes,2566.67,Rs./Quintal,Bajra,2021-06-26
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),27-06-2021,2.0,Metric Tonnes,1375.0,Rs./Quintal,Bajra,2021-06-27
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),28-06-2021,24.0,Metric Tonnes,2146.25,Rs./Quintal,Bajra,2021-06-28
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),29-06-2021,15.0,Metric Tonnes,2520.0,Rs./Quintal,Bajra,2021-06-29
