State/UT,District,Commodity Group,Commodity,Date,Arrival Quantity,Arrival Unit,Modal Price,Price Unit
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),03-03-2021,5.0,Metric Tonnes,2650.0,Rs./Quintal
Maharashtra,Pune,Cereals,Jowar(Sorghum),03-03-2021,14.0,Metric Tonnes,4800.0,Rs./Quintal
Maharashtra,Pune,Cereals,Maize,03-03-2021,1.0,Metric Tonnes,2050.0,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,03-03-2021,6.0,Metric Tonnes,4300.0,Rs./Quintal
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),04-03-2021,7.0,Metric Tonnes,2114.29,Rs./Quintal
Maharashtra,Pune,Cereals,Jowar(Sorghum),04-03-2021,14.0,Metric Tonnes,4800.0,Rs./Quintal
Maharashtra,Pune,Cereals,Maize,04-03-2021,35.0,Metric Tonnes,1472.97,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,04-03-2021,77.0,Metric Tonnes,1947.56,Rs./Quintal
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),05-03-2021,7.0,Metric Tonnes,2328.57,Rs./Quintal
Maharashtra,Pune,Cereals,Jowar(Sorghum),05-03-2021,14.0,Metric Tonnes,4900.0,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,05-03-2021,7.0,Metric Tonnes,3914.29,Rs./Quintal
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),06-03-2021,6.0,Metric Tonnes,2183.33,Rs./Quintal
Maharashtra,Pune,Cereals,Jowar(Sorghum),06-03-2021,14.0,Metric Tonnes,4800.0,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,06-03-2021,6.0,Metric Tonnes,4250.0,Rs./Quintal
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),07-03-2021,5.0,Metric Tonnes,1540.0,Rs./Quintal
Maharashtra,Pune,Cereals,Jowar(Sorghum),07-03-2021,1.0,Metric Tonnes,2500.0,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,07-03-2021,17.0,Metric Tonnes,1750.0,Rs./Quintal
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),08-03-2021,7.0,Metric Tonnes,2264.29,Rs./Quintal
Maharashtra,Pune,Cereals,Jowar(Sorghum),08-03-2021,14.0,Metric Tonnes,4900.0,Rs./Quintal
Maharashtra,Pune,Cereals,Maize,08-03-2021,18.0,Metric Tonnes,1572.22,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,08-03-2021,89.0,Metric Tonnes,1953.98,Rs./Quintal
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),09-03-2021,9.0,Metric Tonnes,1927.78,Rs./Quintal
Maharashtra,Pune,Cereals,Jowar(Sorghum),09-03-2021,14.0,Metric Tonnes,4750.0,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,09-03-2021,8.0,Metric Tonnes,3631.25,Rs./Quintal
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),10-03-2021,5.0,Metric Tonnes,2650.0,Rs./Quintal
Maharashtra,Pune,Cereals,Jowar(Sorghum),10-03-2021,15.0,Metric Tonnes,4850.0,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,10-03-2021,6.0,Metric Tonnes,4200.0,Rs./Quintal
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),11-03-2021,9.0,Metric Tonnes,2094.44,Rs./Quintal
Maharashtra,Pune,Cereals,Jowar(Sorghum),11-03-2021,14.0,Metric Tonnes,4850.0,Rs./Quintal
Maharashtra,Pune,Cereals,Maize,11-03-2021,2.0,Metric Tonnes,1712.5,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,11-03-2021,20.0,Metric Tonnes,2462.0,Rs./Quintal
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),12-03-2021,8.0,Metric Tonnes,2187.5,Rs./Quintal
Maharashtra,Pune,Cereals,Jowar(Sorghum),12-03-2021,15.0,Metric Tonnes,4800.0,Rs./Quintal
Maharashtra,Pune,Cereals,Maize,12-03-2021,1.0,Metric Tonnes,2050.0,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,12-03-2021,8.0,Metric Tonnes,3912.5,Rs./Quintal
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),13-03-2021,7.0,Metric Tonnes,2228.57,Rs./Quintal
Maharashtra,Pune,Cereals,Jowar(Sorghum),13-03-2021,16.0,Metric Tonnes,4600.0,Rs./Quintal
Maharashtra,Pune,Cereals,Maize,13-03-2021,1.0,Metric Tonnes,2050.0,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,13-03-2021,9.0,Metric Tonnes,3661.11,Rs./Quintal
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),14-03-2021,8.0,Metric Tonnes,1515.63,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,14-03-2021,23.0,Metric Tonnes,1828.26,Rs./Quintal
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),15-03-2021,6.0,Metric Tonnes,2650.0,Rs./Quintal
Maharashtra,Pune,Cereals,Jowar(Sorghum),15-03-2021,15.0,Metric Tonnes,5000.0,Rs./Quintal
Maharashtra,Pune,Cereals,Maize,15-03-2021,1.0,Metric Tonnes,2050.0,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,15-03-2021,6.0,Metric Tonnes,4400.0,Rs./Quintal
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),16-03-2021,6.0,Metric Tonnes,2600.0,Rs./Quintal
Maharashtra,Pune,Cereals,Jowar(Sorghum),16-03-2021,16.0,Metric Tonnes,5000.0,Rs./Quintal
