State/UT,District,Commodity Group,Commodity,Date,Arrival Quantity,Arrival Unit,Modal Price,Price Unit
Maharashtra,Pune,Vegetables,Onion,31-03-2021,1246.0,Metric Tonnes,886.8,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,31-03-2021,203.0,Metric Tonnes,1095.57,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,01-04-2021,1294.0,Metric Tonnes,902.67,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,01-04-2021,374.0,Metric Tonnes,1164.44,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,02-04-2021,1842.0,Metric Tonnes,930.33,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,02-04-2021,428.0,Metric Tonnes,960.75,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,03-04-2021,534.0,Metric Tonnes,865.45,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,03-04-2021,145.0,Metric Tonnes,906.21,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,04-04-2021,2302.0,Metric Tonnes,799.08,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,04-04-2021,390.0,Metric Tonnes,992.95,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,05-04-2021,948.0,Metric Tonnes,798.92,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,05-04-2021,294.0,Metric Tonnes,893.54,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,06-04-2021,1731.0,Metric Tonnes,949.88,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,06-04-2021,320.0,Metric Tonnes,870.47,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,07-04-2021,1526.0,Metric Tonnes,849.08,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,07-04-2021,258.0,Metric Tonnes,949.42,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,08-04-2021,1978.0,Metric Tonnes,893.05,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,08-04-2021,336.0,Metric Tonnes,842.86,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,09-04-2021,1563.0,Metric Tonnes,791.55,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,09-04-2021,288.0,Metric Tonnes,729.86,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,12-04-2021,971.0,Metric Tonnes,838.74,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,12-04-2021,319.0,Metric Tonnes,876.18,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,13-04-2021,2243.0,Metric Tonnes,823.92,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,13-04-2021,275.0,Metric Tonnes,737.27,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,14-04-2021,1196.0,Metric Tonnes,916.89,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,14-04-2021,302.0,Metric Tonnes,1019.7,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,15-04-2021,1908.0,Metric Tonnes,881.89,Rs./Quintal
